시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
송파구,삼전동,28703,463,503,809,891,1318,3211,3760,2667,2344,2107,2235,1879,1939,1747,1166,810,523,230,70,26,5
송파구,가락본동,24777,630,640,704,836,1215,2105,2412,2045,1882,1579,1968,2113,2131,1877,1070,749,447,253,97,21,3
송파구,가락1동,27348,1271,1649,1679,1208,1059,1291,2021,2450,2955,2210,1875,1665,1857,1727,1166,728,343,139,39,13,3
송파구,가락2동,30763,725,1210,1579,1541,1618,2195,2422,2200,2547,2383,2684,2351,2266,2104,1253,803,483,265,101,29,4
송파구,문정1동,19691,460,552,641,682,1037,1920,2009,1483,1446,1202,1518,1489,1665,1452,964,570,338,172,71,18,2
송파구,문정2동,28737,621,718,739,713,1133,3293,4380,3017,2764,1799,1794,1631,1566,1572,1173,877,475,318,121,29,4
송파구,장지동,30596,1060,1077,1146,1312,1558,1981,2649,2498,2423,2221,2458,2407,2399,2084,1408,903,578,281,117,30,6
송파구,위례동,45048,2385,3637,3565,2840,2086,2081,2755,3853,5107,4264,3525,2602,2165,1775,1016,695,378,200,81,33,5
송파구,잠실본동,27524,381,488,637,781,1394,3392,3874,2521,2208,1893,2062,1803,1803,1682,1048,784,452,240,61,16,4
송파구,잠실2동,34823,920,2257,3181,2610,1976,1414,1245,1896,3888,4070,3546,2200,1518,1413,1081,818,504,204,63,18,1
송파구,잠실3동,33769,796,1616,2134,2021,1792,1592,1530,1905,2980,3038,3084,2457,2260,2304,1813,1335,675,278,114,42,3
송파구,잠실4동,21028,724,1404,1637,1053,944,931,902,1432,2307,2031,1763,1413,1248,1196,880,597,325,173,47,19,2
송파구,잠실6동,16376,443,795,903,792,825,862,907,1030,1459,1350,1309,1228,1193,1251,807,578,351,185,82,22,4
송파구,잠실7동,9373,208,321,392,470,545,531,508,445,609,640,792,800,736,724,591,489,289,172,84,21,6
강동구,소계,476942,13137,17932,20943,19891,22583,33645,38111,34806,40334,36445,37920,34996,36512,34129,23008,16145,9632,4557,1668,467,81
강동구,강일동,34605,1378,1752,1730,1966,1665,1760,1938,2476,2983,2677,2737,2406,2515,2541,1646,1146,692,381,174,36,6
강동구,상일1동,39239,1492,2763,2918,2153,1583,1635,2095,2901,4285,3732,3059,2426,2638,2403,1509,898,453,193,69,29,5
강동구,상일2동,13535,605,657,796,871,785,847,903,962,1107,1047,1078,972,754,682,551,400,285,152,55,22,4
강동구,명일1동,24830,885,1016,1124,1161,1209,1357,1712,1881,2192,1893,2088,1760,1783,1891,1239,846,463,221,76,27,6
강동구,명일2동,16843,277,631,1219,1125,970,1014,948,862,1384,1518,1510,1137,1177,1265,861,511,226,123,60,22,3
강동구,고덕1동,23818,503,1440,2358,1725,988,918,932,1357,2565,2701,2065,1395,1465,1407,877,521,316,166,89,28,2
강동구,고덕2동,25325,1019,1601,1635,1227,994,1287,1618,2153,2778,2172,1962,1623,1607,1477,974,611,334,166,69,17,1
강동구,암사1동,33194,652,913,1070,1191,1590,2457,2628,2196,2518,2363,2820,2870,2820,2602,1778,1322,821,398,147,35,3
강동구,암사2동,14572,535,511,490,461,631,1003,1342,1319,1242,1004,1141,1048,1086,968,669,533,368,156,54,9,2
강동구,암사3동,17087,478,945,1106,880,801,885,866,1165,1565,1484,1356,1251,1184,1174,873,518,332,151,47,17,9
강동구,천호1동,25555,474,509,724,747,1147,1926,2177,1661,1751,1799,2115,2096,2383,2208,1555,1154,700,306,93,28,2
강동구,천호2동,34307,697,748,751,894,1478,3270,3832,2650,2664,2266,2586,2748,2883,2449,1711,1313,846,375,108,33,5
강동구,천호3동,26163,529,478,481,570,1311,3030,3129,2056,1887,1580,1901,1844,2117,1965,1256,984,630,277,109,22,7
강동구,성내1동,19095,523,654,716,804,991,1364,1601,1392,1582,1533,1566,1382,1470,1256,917,705,372,182,64,18,3
강동구,성내2동,23833,410,404,498,523,1180,2714,2834,1813,1673,1435,1707,1715,1938,1774,1240,968,592,304,84,25,2
강동구,성내3동,21777,372,512,596,791,1248,1782,1884,1412,1575,1617,1841,1824,1845,1635,1107,873,536,235,72,16,4
강동구,길동,47553,1051,1145,1327,1426,2316,4054,4462,3577,3648,3166,3725,3796,3997,3795,2516,1777,1061,476,178,49,11
강동구,둔촌1동,10917,522,465,511,457,445,615,1161,1105,1028,792,723,764,767,739,445,229,89,36,16,6,2
강동구,둔촌2동,24694,735,788,893,919,1251,1727,2049,1868,1907,1666,1940,1939,2083,1898,1284,836,516,259,104,28,4
